commit	opponent	point_rate	search_score	lower_ci	games	complexity	status	description
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp FW combo: open-only void + pile deck<=2
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp FX combo: high-rank pile pass opp>=4 deck>=4
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp FY combo: open rank match -6 on table rank
probe	B4	0.625590	0.776750	0.623850	200000	100	discard	exp FZ combo: endgame strip opp<=3 + pile deck<=3
probe	B4	0.636160	0.788870	0.634420	200000	100	discard	exp GA: longest-suit open
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp GB: pile pass on uncovered table trump
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp GC: shortest-suit pile bias
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp GD: trump-only hand open lowest trump
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp GE: pile only when opp hand <= deck
probe	B4	0.636070	0.788960	0.634070	200000	110	discard	exp GF sweep trump penalty +92
probe	B4	0.636070	0.788960	0.634070	200000	110	discard	exp GG sweep trump penalty +96
probe	B4	0.636070	0.788960	0.634070	200000	100	discard	exp GH sweep trump penalty +100
probe	B4	0.636070	0.788960	0.634070	200000	110	discard	exp GI sweep trump penalty +104
probe	B4	0.636070	0.788960	0.634070	200000	110	discard	exp GJ sweep trump penalty +108
probe	B4	0.635920	0.788870	0.634180	200000	100	discard	exp GK combo: void remove hold CZ quick
probe	B4	0.636640	0.789380	0.635380	1000000	100	discard	exp GK medium: void remove −0.00012 B4
probe	B4	0.635790	0.788840	0.634050	200000	100	discard	exp GL combo: void remove + pair deck>=6 quick
probe	B4	0.636520	0.789330	0.635260	1000000	100	discard	exp GL medium: void remove + pair>=6
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp GM: open void bonus -4
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp GN: pile void bonus -9
probe	B4	0.634700	0.787900	0.632960	200000	100	discard	exp GO combo: void remove + strip opp==2 only
probe	B4	0.636070	0.788960	0.634070	200000	100	discard	exp GP sweep open void -3 pile -8
probe	B4	0.636070	0.788960	0.634070	200000	100	discard	exp GQ sweep open void -6 pile -8
probe	B4	0.636080	0.788960	0.634080	200000	100	discard	exp GR sweep open void -5 pile -6
probe	B4	0.636070	0.788960	0.634070	200000	100	discard	exp GS sweep open void -5 pile -10
probe	B4	0.636070	0.788960	0.634070	200000	100	discard	exp GT sweep open void -4 pile -9
probe	B4	0.635780	0.788760	0.634040	200000	100	discard	exp GU combo: pair>=5 + pile<=2
probe	B4	0.630840	0.784840	0.629100	200000	100	discard	exp GV combo: pair>=5 + pile<=4
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp GW combo: pair>=6 + pile<=3
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp GX combo: pair>=4 + pile<=3
probe	B4	0.635920	0.788870	0.634180	200000	100	discard	exp GY combo: void remove + CZ timing quick
probe	B4	0.636640	0.789380	0.635380	1000000	100	discard	exp GY medium: void remove + CZ timing
probe	B4	0.625590	0.784590	0.623810	200000	100	discard	exp HA: strip opp<=3
probe	B4	0.624700	0.783700	0.622970	200000	100	discard	exp HB: pair-open when opp<=3
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp HC: pile pass when opp>=6
probe	B4	0.642530	0.793220	0.640770	200000	100	discard	exp HD: strip deck<=2 opp<=2 quick
probe	B4	0.643230	0.793650	0.642450	1000000	100	discard	exp HD medium: strip deck<=2
probe	B4	0.643180	0.793580	0.642930	10000000	100	discard	exp HD full: strip deck<=2 (search +0.004 below keep bar)
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp HF sweep strip deck==0 control
probe	B4	0.617840	0.776840	0.616100	200000	100	discard	exp HG sweep strip deck==1
probe	B4	0.642530	0.793220	0.640770	200000	100	discard	exp HH sweep strip deck<=2
probe	B4	0.641630	0.792320	0.639860	200000	100	discard	exp HI sweep strip deck<=3 quick
probe	B4	0.642270	0.792940	0.641490	1000000	100	discard	exp HI medium: strip deck<=3
probe	B4	0.625250	0.777250	0.623520	200000	100	discard	exp HJ sweep strip deck<=1 opp<=1
probe	B4	0.626050	0.778050	0.624310	200000	100	discard	exp HK exploit strip deck==2 only
probe	B4	0.626890	0.778890	0.625150	200000	100	discard	exp HL exploit strip deck 1|2
probe	B4	0.631290	0.783290	0.629550	200000	100	discard	exp HM exploit strip deck<=2 opp<=3
probe	B4	0.641850	0.792870	0.640090	200000	100	discard	exp HO strip deck 0|2 exclude 1 quick
probe	B4	0.642510	0.793320	0.641720	1000000	100	discard	exp HO medium: strip deck 0|2
probe	B4	0.642460	0.793260	0.642210	10000000	100	discard	exp HO full: strip deck 0|2 (search +0.004 below keep bar)
probe	B4	0.642410	0.793210	0.640650	200000	100	discard	exp HP combo deck<=2 strip + void remove
probe	B4	0.642240	0.793040	0.640480	200000	100	discard	exp HQ combo deck<=2 strip + pile deck<=2
probe	B4	0.642450	0.793250	0.640690	200000	100	discard	exp HR combo deck<=2 strip + pair deck>=6 quick
probe	B4	0.643130	0.793620	0.642350	1000000	100	discard	exp HR medium: deck<=2 + pair>=6
probe	B4	0.643070	0.793550	0.642820	10000000	100	discard	exp HR full: deck<=2 + pair>=6 (search +0.004 below keep bar)
probe	B4	0.631030	0.782030	0.629290	200000	100	discard	exp HS combo deck<=2 strip + opp<=1
probe	B4	0.628510	0.780510	0.626770	200000	100	discard	exp HT combo deck<=2 + pile opp<=4
probe	B4	0.636730	0.788730	0.634990	200000	100	discard	exp HV combo deck<=2 + pile deck<=4
probe	B4	0.636370	0.788370	0.634630	200000	100	discard	exp HY combo deck<=2 + pile deck<=5
probe	B4	0.615400	0.768400	0.613660	200000	100	discard	exp HZ combo deck<=2 + pile opp<=3
probe	B4	0.642530	0.793220	0.640770	200000	100	discard	exp HU dual HD deck<=2 strip reconfirm
probe	B4	0.641850	0.792870	0.640090	200000	100	discard	exp IE additive strip deck==2 only quick
probe	B4	0.642510	0.793320	0.641720	1000000	100	discard	exp IE medium: additive strip deck==2
probe	B4	0.641850	0.792870	0.640090	200000	100	discard	exp IF ablate HD deck 0|2 strip
probe	B4	0.584430	0.736430	0.582690	200000	100	discard	exp IG ablate HD minus pile dump
probe	B4	0.642450	0.793250	0.640690	200000	100	discard	exp IH ablate HD pair>=6 (HR class)
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp II ablate HD minus strip (CQ control)
probe	B4	0.642330	0.793130	0.640570	200000	100	discard	exp IJ combo HD pair>=6 + void remove
probe	B4	0.642040	0.792840	0.640280	200000	100	discard	exp IL combo HD pair>=7
probe	B4	0.642530	0.793220	0.640770	200000	100	discard	exp IM sweep HD pair>=5 (best cell)
probe	B4	0.642450	0.793250	0.640690	200000	100	discard	exp IN sweep HD pair>=6
probe	B4	0.642040	0.792840	0.640280	200000	100	discard	exp IO sweep HD pair>=7
probe	B4	0.641870	0.792670	0.640110	200000	100	discard	exp IP sweep HD pair>=8
probe	B4	0.637860	0.789860	0.636120	200000	100	discard	exp IQ sweep HD pair>=4
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp IR pivot defense take deck==0 opp<=2
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp IS pivot pile trump deck==0 opp==0
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp IT pivot high trump strip deck==1
probe	B4	0.635690	0.788590	0.633950	200000	100	discard	exp IU pivot skip pile n_table>=5
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp IW pivot defense trump penalty deck==0
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp IX pivot defend take trump rank>=10
probe	B4	0.633330	0.786330	0.631590	200000	100	discard	exp IY pivot pile trump deck==0 any opp
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp JA pivot split pair deck==0 strip deck 1-2
probe	B4	0.642530	0.793220	0.640770	200000	100	discard	exp HD dual reconfirm batch-43
probe	B4	0.642410	0.793210	0.640650	200000	100	discard	exp JB combo HD + void remove
probe	B4	0.636370	0.788370	0.634630	200000	100	discard	exp JC combo HD + pile deck<=5
probe	B4	0.642530	0.793220	0.640770	200000	100	discard	exp JD combo HD + high trump strip deck==1
probe	B4	0.643230	0.793650	0.642450	1000000	100	discard	exp HD medium reconfirm batch-43
probe	B4	0.643230	0.793650	0.642450	1000000	100	discard	exp JE batch-44 HD medium reconfirm (skip full search +0.0042)
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp JF defense take trump rank>=10
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp JG defense cap non-trump rank<=8
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp JH defense trump cost 70 deck<=2
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp JI defense take cover rank>=11 deck==0
probe	B4	0.405410	0.560410	0.403670	200000	100	discard	exp JJ defense take opp<=2 deck<=1
probe	B4	0.624830	0.781830	0.623090	200000	100	discard	exp JL pair-open hand size<=4
probe	B4	0.631030	0.786030	0.629290	200000	100	discard	exp JM strip deck<=2 opp==1 only
probe	B4	0.557470	0.712470	0.555730	200000	100	discard	exp JK pile rank-match throw-in
probe	B4	0.626710	0.781710	0.624970	200000	100	discard	exp JN pair-open hand<=3
probe	B4	0.610470	0.766470	0.608730	200000	100	discard	exp JO pile pass hand==1
probe	B4	0.627080	0.782080	0.625340	200000	100	discard	exp JP pile pass only-trump deck==0
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp JQ void bonus pile -12 open -7
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp JR trump attack penalty 90
probe	B4	0.634480	0.787480	0.632740	200000	100	discard	exp JS pair-open cap min+1
probe	B4	0.618850	0.772850	0.617110	200000	100	discard	exp JT pile trump deck<=2 opp<=4
probe	B4	0.642530	0.793220	0.640770	200000	100	discard	exp JV combo HD + defense trump cost 60 deck==0
probe	B4	0.643230	0.793650	0.642450	1000000	100	discard	exp JV medium: HD + defense trump cost 60
probe	B4	0.624550	0.775550	0.622810	200000	100	discard	exp JW strip opp==1 only
probe	B4	0.591470	0.743470	0.589730	200000	100	discard	exp JX pile trump deck<=1 opp<=2
probe	B4	0.631030	0.786030	0.629290	200000	100	discard	exp JY HD strip deck<=2 opp==1
probe	B4	0.635770	0.789770	0.634030	200000	100	discard	exp JZ pile extra when deck<=1 opp<=2
probe	B4	0.635920	0.788880	0.634180	200000	100	discard	exp KA ablate void bonus off
probe	B4	0.631320	0.784320	0.629580	200000	100	discard	exp KB ablate pair-open off
probe	B4	0.626460	0.779460	0.624720	200000	100	discard	exp KC ablate open strip off
probe	B4	0.578110	0.732110	0.576370	200000	100	discard	exp KD ablate pile trump dump off
probe	B4	0.642410	0.793210	0.640650	200000	100	discard	exp KE combo HD + void remove quick
probe	B4	0.643100	0.793580	0.642320	1000000	100	discard	exp KE medium: HD + void remove
probe	B4	0.643180	0.793580	0.642930	10000000	100	discard	exp KF batch-50 HD full re-run (search +0.00417)
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp KR void bonus pile-only
probe	B4	0.643230	0.793650	0.642450	1000000	100	discard	exp KS medium: HD + void pile-only
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp KU additive strip deck 1-2 no singleton
probe	B4	0.642240	0.793040	0.640480	200000	100	discard	exp KV combo HD + pile deck<=2
probe	B4	0.622570	0.773570	0.620830	200000	100	discard	exp KW combo HD + pair-open deck<=2
probe	B4	0.642500	0.793300	0.640740	200000	100	discard	exp KX combo HD + void when deck<=3
probe	B4	0.628290	0.780290	0.626550	200000	100	discard	exp KY combo HD + pile deck<=2 opp<=4
probe	B4	0.643180	0.793580	0.641400	200000	100	discard	exp KZ combo HD + pair cap min+3 quick
probe	B4	0.642530	0.793220	0.640770	200000	100	discard	exp LA HD control batch-51
probe	B4	0.643480	0.793380	0.642670	1000000	100	discard	exp KZ medium: HD + pair cap min+3
probe	B4	0.643370	0.793350	0.643110	10000000	100	discard	exp KZ full: HD + pair cap min+3 (search +0.004 below keep bar)
probe	B4	0.636820	0.788820	0.635080	200000	100	discard	exp LB pair cap min+3 only (neutral alone)
probe	B4	0.640920	0.791920	0.639180	200000	100	discard	exp LC sweep HD pair min+1
probe	B4	0.642530	0.793220	0.640770	200000	100	discard	exp LD sweep HD pair min+2
probe	B4	0.643180	0.793580	0.641400	200000	100	discard	exp LE sweep HD pair min+3
probe	B4	0.642260	0.793260	0.640500	200000	100	discard	exp LF sweep HD pair min+4
probe	B4	0.643480	0.793380	0.642670	1000000	100	discard	exp LE medium: HD pair min+3 reconfirm
probe	B4	0.643090	0.793090	0.641310	200000	100	discard	exp LG combo KZ + void remove quick
probe	B4	0.643090	0.793320	0.641830	1000000	100	discard	exp LG medium: KZ + void remove
probe	B4	0.643180	0.793580	0.641400	200000	100	discard	exp LH combo KZ + void pile-only
probe	B4	0.637710	0.788710	0.635970	200000	100	discard	exp LI combo KZ + pile deck<=4
probe	B4	0.643180	0.793580	0.641400	200000	100	discard	exp LK combo KZ + trump penalty 95
probe	B4	0.637310	0.788310	0.635570	200000	100	discard	exp LL combo KZ + pile deck<=5
probe	B4	0.642530	0.793220	0.640770	200000	100	discard	exp LJ HD dual reconfirm batch-53
probe	B4	0.642530	0.793220	0.640770	200000	100	discard	exp LP HD + pair min+3 midgame-only (=HD)
probe	B4	0.636050	0.788950	0.634310	200000	100	discard	exp LM pivot pile suit diversity penalty
probe	B4	0.605600	0.759600	0.603860	200000	100	discard	exp MA open longest suit deck>=4
probe	B4	0.557470	0.712470	0.555730	200000	100	discard	exp MB pile soft rank-match
probe	B4	0.620430	0.774430	0.618690	200000	100	discard	exp MC HD strip requires >=2 trumps
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp MD split strip deck<=2 pair deck==0
probe	B4	0.643230	0.793650	0.642450	1000000	100	discard	exp LO HD medium reconfirm batch-54
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp ME open lowest when hand==1
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp MF defense cost n_table*2
probe	B4	0.578110	0.732110	0.576370	200000	100	discard	exp MG pile pass if only trump
probe	B4	0.623550	0.779550	0.621810	200000	100	discard	exp MH defense take n_table>=4 trump
probe	B4	0.629500	0.775500	0.627760	200000	100	discard	exp MO HD + pair opp>=4 batch-56
probe	B4	0.642240	0.792240	0.640500	200000	100	discard	exp MP HD + pile deck<=2 batch-56
probe	B4	0.642530	0.793220	0.640770	200000	100	discard	exp MQ HD + defend cost -5 deck<=2 batch-56
probe	B4	0.642530	0.793220	0.640770	200000	100	discard	exp MR HD + void -10 deck<=3 batch-56
probe	B4	0.642530	0.793220	0.640770	200000	100	discard	exp MS HD + high trump open deck==1 batch-56
probe	B4	0.578110	0.732110	0.576370	200000	100	discard	exp MT only-trump pile pass batch-57
probe	B4	0.641850	0.792650	0.640110	200000	100	discard	exp MU strip deck 0|2 only batch-57
probe	B4	0.584430	0.756430	0.582690	200000	100	discard	exp MV HD + only-trump pile pass batch-57
probe	B4	0.643180	0.793380	0.641440	500000	100	discard	exp MW HD + pair min+3 (=KZ) medium batch-57
probe	B4	0.636370	0.788370	0.634630	200000	100	discard	exp MX pair cap min+4 batch-57
probe	B4	0.622010	0.774010	0.620270	200000	100	discard	exp NG HD + pile trump deck<=1 batch-58
probe	B4	0.615400	0.767400	0.613660	200000	100	discard	exp NH HD + pile trump opp<=3 batch-58
probe	B4	0.584430	0.756430	0.582690	200000	100	discard	exp NJ HD ablate pile trump dump batch-58
probe	B4	0.638620	0.790620	0.636880	200000	100	discard	exp NK HD + second-lowest trump strip batch-58
probe	B4	0.640920	0.792650	0.639180	200000	100	discard	exp NL HD + pair min+1 batch-59
probe	B4	0.638300	0.791300	0.636560	200000	100	discard	exp NM HD + pair exact min batch-59
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp NN defense trump penalty 35 batch-59
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp NO defense trump penalty 65 batch-59
probe	B4	0.631030	0.783030	0.629290	200000	100	discard	exp NP HD strip opp==1 only batch-59
probe	B4	0.578110	0.732110	0.576370	200000	100	discard	exp NQ CZ ablate pile trump dump batch-60
probe	B4	0.631320	0.779620	0.629580	200000	100	discard	exp NR CZ ablate pair-open deck>=5 batch-60
probe	B4	0.635920	0.788870	0.634180	200000	100	discard	exp NS CZ ablate void-suit bonus batch-60
probe	B4	0.626460	0.777460	0.624720	200000	100	discard	exp NT CZ ablate trump strip open batch-60
probe	B4	0.584430	0.756430	0.582690	200000	100	discard	exp NU HD ablate pile trump dump batch-60
probe	B4	0.612150	0.770030	0.610410	200000	100	discard	exp OA open longest suit deck>=7 batch-61
probe	B4	0.557470	0.712470	0.555730	200000	100	discard	exp OB pile rank-match table batch-61
probe	B4	0.635690	0.788760	0.633950	200000	100	discard	exp OC pass n_table>=5 no NT batch-61
probe	B4	0.610670	0.769290	0.608930	200000	100	discard	exp OD skip strip trump count==1 batch-61
probe	B4	0.635830	0.788850	0.634090	200000	100	discard	exp OE pile suit diversity +5 batch-61
probe	B4	0.578450	0.753180	0.576710	200000	100	discard	exp OF pile rank-match attack only batch-62
probe	B4	0.634130	0.787920	0.632390	200000	100	discard	exp OG pass n_table>=4 no NT batch-62
probe	B4	0.635840	0.788850	0.634100	200000	100	discard	exp OI pile suit diversity +3 batch-62
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp OJ open trump when all-trump hand batch-62
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp OK strip requires >=2 trumps batch-63
probe	B4	0.631430	0.779670	0.629690	200000	100	discard	exp OL pair-open deck>=4 batch-63
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp OM void bonus -7 open batch-63
probe	B4	0.607180	0.767550	0.605440	200000	100	discard	exp ON pile trump opp<=3 batch-63
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp OO defend same-suit -3 batch-63
probe	B4	0.642090	0.792090	0.640350	200000	100	discard	exp OX HD + pass n_table>=5 batch-64
probe	B4	0.643090	0.793590	0.641350	500000	100	discard	exp OY HD + new-suit bonus -3 medium batch-64
probe	B4	0.635840	0.788850	0.634090	200000	100	discard	exp OZ new-suit bonus -3 CZ batch-64
probe	B4	0.586700	0.756700	0.584960	200000	100	discard	exp PA skip pile trump n_table<3 batch-64
probe	B4	0.624060	0.774060	0.622320	200000	100	discard	exp PB open mnt+1 deck>=5 batch-64
probe	B4	0.083750	0.505830	0.082010	200000	100	discard	exp PC take all-trump covers deck<=3 batch-65
probe	B4	0.054180	0.491050	0.052440	200000	100	discard	exp PD skip trump vs non-trump attack batch-65
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp PE defend cost + rank gap batch-65
probe	B4	0.625030	0.776470	0.623290	200000	100	discard	exp PF take all-trump n_table>=4 batch-65
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp PG defend same-suit -3 batch-65
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp PH take min-trump if NT exists deck<=3 batch-66
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp PJ defense trump penalty +40 batch-66
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp PK defense trump penalty +60 batch-66
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp PL defense trump penalty +55 batch-66
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp PM PH logic deck<=2 batch-66
probe	B4	0.625590	0.777590	0.623850	200000	100	discard	exp PN strip opp<=3 CZ batch-67
probe	B4	0.635780	0.788780	0.634040	200000	100	discard	exp PO pile trump deck<=2 batch-67
probe	B4	0.642240	0.792240	0.640500	200000	100	discard	exp PP HD + pile deck<=2 batch-67
probe	B4	0.631290	0.779670	0.629550	200000	100	discard	exp PQ HD + strip opp<=3 batch-67
probe	B4	0.631320	0.779620	0.629580	200000	100	discard	exp PR pair-open opp<=4 gate batch-67
probe	B4	0.626820	0.777370	0.625080	200000	100	discard	exp PS strip hand<=3 batch-68
probe	B4	0.575230	0.751570	0.573490	200000	100	discard	exp PT pile trump hand<=4 batch-68
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp PU pair-open opp>=5 batch-68
probe	B4	0.630970	0.779440	0.629230	200000	100	discard	exp PV pile pass hand<=2 trump batch-68
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp PW open trump hand<=2 no NT batch-68
probe	B4	0.624210	0.774210	0.622470	200000	100	discard	exp PY strip hand<=2 batch-69
probe	B4	0.626820	0.777370	0.625080	200000	100	discard	exp PZ strip hand<=3 deck<=2 batch-69
probe	B4	0.584780	0.756780	0.583040	200000	100	discard	exp QA HD + pile hand<=4 batch-69
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp QB pair-open opp>=4 batch-69
probe	B4	0.601070	0.771070	0.599330	200000	100	discard	exp QC pile hand<=3 deck<=3 batch-69
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp QD void -10 pile n_table>=2 batch-70
probe	B4	0.586700	0.756700	0.584960	200000	100	discard	exp QE pile trump n_table>=3 batch-70
probe	B4	0.636070	0.788960	0.634330	200000	100	discard	exp QF pair-open n_table==0 batch-70
probe	B4	0.643230	0.793650	0.642450	500000	100	discard	exp HD medium control batch-71
probe	B4	0.642090	0.792090	0.640350	200000	100	discard	exp QG HD + n_table>=5 pass batch-71
probe	B4	0.642530	0.793220	0.640770	200000	100	discard	exp QH HD + void -10 n_table>=2 batch-71
probe	B4	0.642240	0.792240	0.640500	200000	100	discard	exp QI HD + pile deck<=2 batch-71
probe	B4	0.641570	0.791570	0.639830	200000	100	discard	exp QJ HD + strip opp==2 batch-71
probe	B4	0.642740	0.793400	0.641000	500000	100	discard	exp QG HD + n_table pass medium batch-71
probe	B4	0.642940	0.793450	0.641200	500000	100	discard	exp QI HD + pile deck<=2 medium batch-71
probe	B4	0.643090	0.793590	0.641350	500000	100	discard	exp QK HD + new-suit -3 medium batch-71
probe	B4	0.642350	0.793140	0.640610	200000	100	discard	exp QK HD + new-suit -3 fixed batch-72
probe	B4	0.642100	0.792990	0.640360	200000	100	discard	exp QL HD + pass + void n_table batch-72
probe	B4	0.641800	0.792780	0.640060	200000	100	discard	exp QM HD + pile deck<=2 + pass batch-72
probe	B4	0.642530	0.793220	0.640770	200000	100	discard	exp QN HD + void -10 global pile batch-72
probe	B4	0.642240	0.793010	0.640500	200000	100	discard	exp QO HD + pile deck<=2 + void batch-72
probe	B4	0.638300	0.791300	0.636560	200000	100	discard	exp QS HD ablate pair-open batch-73
probe	B4	0.642410	0.793210	0.640670	200000	100	discard	exp QT HD ablate void bonus batch-73
probe	B4	0.584430	0.756430	0.582690	200000	100	discard	exp QU HD ablate pile trump batch-73
probe	B4	0.626310	0.777310	0.624570	200000	100	discard	exp QV HD ablate pair-skip batch-73
